route_id,service_id,trip_id,shape_id
142,1,142_12_50,
142,1,142_11_17,
142,1,142_09_14,
142,1,142_14_00,
142,1,142_10_44,
142,1,142_12_52,
142,1,142_12_19,
142,1,142_18_19,
142,1,142_16_07,
142,1,142_19_49,
142,1,142_06_29,
142,1,142_17_46,
142,1,142_05_56,
142,1,142_20_51,
142,1,142_11_50,
142,1,142_16_40,
142,1,142_20_50,
142,1,142_21_05,
142,1,142_17_13,
142,1,142_05_23,
142,1,142_13_55,
142,1,142_15_01,
142,1,142_08_41,
142,1,142_07_42,
142,1,142_15_39,
142,1,142_14_28,
142,1,142_13_25,
142,1,142_07_35,
142,1,142_18_52,
142,1,142_08_08,
142,1,142_10_11,
142,1,142_13_22,
142,1,142_20_18,
10001,1,10001_11_30,
10001,1,10001_12_10,
10001,1,10001_12_50,
10001,1,10001_18_50,
10001,1,10001_16_50,
10001,1,10001_09_10,
10001,1,10001_20_30,
10001,1,10001_10_50,
10001,1,10001_16_10,
10001,1,10001_10_30,
10001,1,10001_18_30,
10001,1,10001_08_10,
10001,1,10001_15_50,
10001,1,10001_19_30,
10001,1,10001_09_30,
10001,1,10001_10_10,
10001,1,10001_08_50,
10001,1,10001_12_30,
10001,1,10001_17_30,
10001,1,10001_19_10,
10001,1,10001_11_50,
10001,1,10001_17_10,
10001,1,10001_19_50,
10001,1,10001_17_50,
10001,1,10001_09_50,
10001,1,10001_18_10,
10001,1,10001_16_30,
10001,1,10001_11_10,
10001,1,10001_20_40,
10001,1,10001_08_30,
362,1,362_13_36,
362,1,362_06_36,
362,1,362_05_48,
362,1,362_15_40,
362,1,362_05_00,
362,1,362_15_12,
362,1,362_16_18,
362,1,362_07_48,
362,1,362_07_00,
362,1,362_14_48,
362,1,362_12_48,
362,1,362_08_36,
362,1,362_14_24,
362,1,362_07_24,
362,1,362_16_00,
362,1,362_08_12,
274,1,274_07_50,
274,1,274_18_50,
274,1,274_16_50,
274,1,274_09_10,
274,1,274_13_30,
274,1,274_16_10,
274,1,274_10_30,
274,1,274_06_30,
274,1,274_14_50,
274,1,274_19_30,
274,1,274_17_30,
274,1,274_15_30,
274,1,274_11_50,
274,1,274_09_50,
274,1,274_18_10,
274,1,274_05_50,
274,1,274_14_10,
274,1,274_07_10,
274,1,274_11_10,
274,1,274_08_30,
10386,1,10386_07_50,
10386,1,10386_18_50,
10386,1,10386_16_50,
10386,1,10386_09_10,
